timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839969.061, lauv-xplore-1, Depth Sensor, 10.414
1516839969.161, lauv-xplore-1, Depth Sensor, 10.414
1516839969.213, lauv-xplore-1, Power Supply, 14.000
1516839969.261, lauv-xplore-1, Depth Sensor, 10.414
1516839969.300, lauv-xplore-1, Power Supply, 14.000
1516839969.308, lauv-xplore-1, Power Supply, 14.000
1516839969.340, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839969.340, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839969.340, lauv-xplore-1, Motor, 10.000
1516839969.361, lauv-xplore-1, Depth Sensor, 10.414
1516839969.412, lauv-xplore-1, Power Supply, 14.000
1516839969.461, lauv-xplore-1, Depth Sensor, 10.414
1516839969.561, lauv-xplore-1, Depth Sensor, 10.414
1516839969.612, lauv-xplore-1, Power Supply, 14.000
1516839969.661, lauv-xplore-1, Depth Sensor, 10.447
1516839969.763, lauv-xplore-1, Depth Sensor, 10.447
1516839969.811, lauv-xplore-1, Water Quality Sensor, 14.052
1516839969.861, lauv-xplore-1, Depth Sensor, 10.447
1516839969.962, lauv-xplore-1, Depth Sensor, 10.447
1516839969.974, lauv-xplore-1, Mainboard (Core), 26.000
1516839969.974, lauv-xplore-1, Mainboard (SuperIO), 23.437
1516839969.974, lauv-xplore-1, Mainboard (Board), 21.812
1516839970.062, lauv-xplore-1, Depth Sensor, 10.447
1516839970.113, lauv-xplore-1, Power Supply, 14.000
1516839970.162, lauv-xplore-1, Depth Sensor, 10.447
1516839970.262, lauv-xplore-1, Depth Sensor, 10.447
1516839970.313, lauv-xplore-1, Power Supply, 14.000
1516839970.334, lauv-xplore-1, Power Supply, 14.000
1516839970.343, lauv-xplore-1, Power Supply, 14.000
1516839970.361, lauv-xplore-1, Depth Sensor, 10.447
1516839970.461, lauv-xplore-1, Depth Sensor, 10.447
1516839970.513, lauv-xplore-1, Power Supply, 14.000
1516839970.561, lauv-xplore-1, Depth Sensor, 10.447
1516839970.661, lauv-xplore-1, Depth Sensor, 10.464
1516839970.714, lauv-xplore-1, Power Supply, 14.000
1516839970.761, lauv-xplore-1, Depth Sensor, 10.464
1516839970.811, lauv-xplore-1, Water Quality Sensor, 14.045
1516839970.861, lauv-xplore-1, Depth Sensor, 10.464
1516839970.913, lauv-xplore-1, Power Supply, 14.000
1516839970.962, lauv-xplore-1, Depth Sensor, 10.464
1516839970.973, lauv-xplore-1, Mainboard (Core), 26.000
1516839970.974, lauv-xplore-1, Mainboard (SuperIO), 23.437
1516839970.974, lauv-xplore-1, Mainboard (Board), 21.812
1516839971.062, lauv-xplore-1, Depth Sensor, 10.464
1516839971.162, lauv-xplore-1, Depth Sensor, 10.464
1516839971.262, lauv-xplore-1, Depth Sensor, 10.464
